Categoria,Desc,Imagen,Link
Ropa,"Conjunto De Pijama Sólido Acanalado Casual De 3 Piezas, Top De Cami Corto Con Cuello En V Con Ribete De Lechuga Y Pantalones Cortos Elásticos, Ropa De Dormir Y Estar En Casa Para Mujeres",https://img.kwcdn.com/product/temu-avi/image-crop/c97126f7-8519-41aa-8a4e-3caa5aa22e62.jpg?imageView2/2/w/500/q/70/format/webp,https://temu.to/m/u27dnkgcyw9
Calzado,"zapatos de patinaje de estilo de moda para hombres, zapatillas casuales cómodas y antideslizantes para actividades al aire libre alta calidad y asequible",https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/48ba1ac5fb7809527143cea27e6d5415.jpg?imageView2/2/w/500/q/70/format/webp,https://temu.to/m/us5sbuluv57
